income,age,sex,occupation
<=50K,39,Male,Adm-clerical
<=50K,50,Male,Exec-managerial
<=50K,38,Male,Handlers-cleaners
<=50K,53,Male,Handlers-cleaners
<=50K,28,Female,Prof-specialty
<=50K,37,Female,Exec-managerial
<=50K,49,Female,Other-service
>50K,52,Male,Exec-managerial
>50K,31,Female,Prof-specialty
>50K,42,Male,Exec-managerial
>50K,37,Male,Exec-managerial
>50K,30,Male,Prof-specialty
<=50K,23,Female,Adm-clerical
<=50K,32,Male,Sales
>50K,40,Male,Craft-repair
<=50K,34,Male,Transport-moving
<=50K,25,Male,Farming-fishing
<=50K,32,Male,Machine-op-inspct
<=50K,38,Male,Sales
>50K,43,Female,Exec-managerial
>50K,40,Male,Prof-specialty
<=50K,54,Female,Other-service
<=50K,35,Male,Farming-fishing
<=50K,43,Male,Transport-moving
<=50K,59,Female,Tech-support
>50K,56,Male,Tech-support
<=50K,19,Male,Craft-repair
>50K,54,Male,?
<=50K,39,Male,Exec-managerial
<=50K,49,Male,Craft-repair
<=50K,23,Male,Protective-serv
<=50K,20,Male,Sales
<=50K,45,Male,Exec-managerial
<=50K,30,Male,Adm-clerical
<=50K,22,Male,Other-service
<=50K,48,Male,Machine-op-inspct
<=50K,21,Male,Machine-op-inspct
<=50K,19,Female,Adm-clerical
>50K,31,Male,Sales
<=50K,48,Male,Prof-specialty
<=50K,31,Male,Machine-op-inspct
<=50K,53,Male,Prof-specialty
<=50K,24,Male,Tech-support
<=50K,49,Female,Adm-clerical
<=50K,25,Male,Handlers-cleaners
>50K,57,Male,Prof-specialty
<=50K,53,Male,Machine-op-inspct
<=50K,44,Female,Exec-managerial
<=50K,41,Male,Craft-repair
<=50K,29,Male,Prof-specialty
<=50K,25,Female,Exec-managerial
<=50K,18,Female,Other-service
>50K,47,Female,Prof-specialty
>50K,50,Male,Exec-managerial
<=50K,47,Male,Exec-managerial
>50K,43,Male,Tech-support
<=50K,46,Male,Machine-op-inspct
<=50K,35,Male,Other-service
<=50K,41,Male,Adm-clerical
<=50K,30,Male,Machine-op-inspct
<=50K,30,Male,Sales
<=50K,32,Male,?
<=50K,48,Male,Transport-moving
>50K,42,Male,Prof-specialty
<=50K,29,Male,Tech-support
<=50K,36,Male,Craft-repair
<=50K,28,Female,Adm-clerical
>50K,53,Female,Adm-clerical
>50K,49,Male,Exec-managerial
<=50K,25,Male,?
<=50K,19,Male,Prof-specialty
<=50K,31,Female,Sales
>50K,29,Male,Sales
<=50K,23,Male,Machine-op-inspct
<=50K,79,Male,Prof-specialty
<=50K,27,Male,Other-service
<=50K,40,Male,Adm-clerical
<=50K,67,Male,?
<=50K,18,Female,Other-service
<=50K,31,Male,Farming-fishing
<=50K,18,Male,Sales
<=50K,52,Male,Other-service
<=50K,46,Female,Other-service
<=50K,59,Male,Sales
>50K,44,Female,Craft-repair
<=50K,53,Female,Sales
>50K,49,Male,Protective-serv
<=50K,33,Male,Prof-specialty
<=50K,30,Male,Sales
>50K,43,Female,Prof-specialty
<=50K,57,Male,Prof-specialty
<=50K,37,Female,Craft-repair
<=50K,28,Female,Machine-op-inspct
<=50K,30,Female,Sales
>50K,34,Male,Protective-serv
<=50K,29,Male,Handlers-cleaners
>50K,48,Male,Prof-specialty
>50K,37,Male,Sales
